name,year,num
肖申克的救赎,1994,2549933
霸王别姬,1993,1894550
阿甘正传,1994,1915353
泰坦尼克号,1997,1876836
这个杀手不太冷,1994,2073634
美丽人生,1997,1175102
千与千寻,2001,1996329
辛德勒的名单,1993,980413
盗梦空间,2010,1839268
忠犬八公的故事,2009,1260593
星际穿越,2014,1521337
楚门的世界,1998,1443122
海上钢琴师,1998,1494062
三傻大闹宝莱坞,2009,1672162
机器人总动员,2008,1178305
放牛班的春天,2004,1162896
无间道,2002,1167838
疯狂动物城,2016,1673585
大话西游之大圣娶亲,1995,1365183
熔炉,2011,830505
教父,1972,838154
当幸福来敲门,2006,1352832
控方证人,1957,430718
怦然心动,2010,1618258
龙猫,1988,1127122
触不可及,2011,926639
末代皇帝,1987,746772
寻梦环游记,2017,1438319
蝙蝠侠：黑暗骑士,2008,926929
活着,1994,726012
哈利·波特与魔法石,2001,1004401
指环王3：王者无敌,2003,708721
乱世佳人,1939,612246
素媛,2013,597673
飞屋环游记,2009,1177495
摔跤吧！爸爸,2016,1398974
何以为家,2018,911831
我不是药神,2018,1866250
十二怒汉,1957,416860
哈尔的移动城堡,2004,887872
少年派的奇幻漂流,2012,1216107
鬼子来了,2000,547597
大话西游之月光宝盒,1995,1088106
天空之城,1986,733363
猫鼠游戏,2002,839541
天堂电影院,1988,610710
指环王2：双塔奇兵,2002,660866
闻香识女人,1992,766189
罗马假日,1953,854611
钢琴家,2002,518317
让子弹飞,2010,1470781
指环王1：护戒使者,2001,748269
黑客帝国,1999,743232
大闹天宫,1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆),372962
辩护人,2013,529733
海蒂和爷爷,2015,454638
教父2,1974,473283
死亡诗社,1989,618833
狮子王,1994,735284
绿皮书,2018,1405254
搏击俱乐部,1999,750317
饮食男女,1994,534432
美丽心灵,2001,676005
窃听风暴,2006,496955
本杰明·巴顿奇事,2008,870894
情书,1995,936792
两杆大烟枪,1998,532472
穿条纹睡衣的男孩,2008,473681
西西里的美丽传说,2000,863817
看不见的客人,2016,1093823
拯救大兵瑞恩,1998,572527
飞越疯人院,1975,497409
音乐之声,1965,530159
小鞋子,1997,360093
阿凡达,2009,1234532
海豚湾,2009,328923
沉默的羔羊,1991,769965
哈利·波特与死亡圣器(下),2011,713519
致命魔术,2006,759026
禁闭岛,2010,847711
美国往事,1984,364330
布达佩斯大饭店,2014,799120
蝴蝶效应,2004,826122
心灵捕手,1997,624840
低俗小说,1994,733908
春光乍泄,1997,553756
摩登时代,1936,260245
七宗罪,1995,847245
喜剧之王,1999,850756
致命ID,2003,714153
杀人回忆,2003,608673
被嫌弃的松子的一生,2006,637704
加勒比海盗,2003,763129
红辣椒,2006,385636
功夫,2004,938635
哈利·波特与阿兹卡班的囚徒,2004,598657
狩猎,2012,334036
超脱,2011,471234
请以你的名字呼唤我,2017,619110
剪刀手爱德华,1990,947341
7号房的礼物,2013,485685
勇敢的心,1995,515303
断背山,2005,636902
天使爱美丽,2001,888670
唐伯虎点秋香,1993,940444
入殓师,2008,577168
第六感,1999,488740
幽灵公主,1997,468517
重庆森林,1994,704575
爱在黎明破晓前,1995,572482
小森林 夏秋篇,2014,375553
阳光灿烂的日子,1994,546109
一一,2000,320701
哈利·波特与密室,2002,625041
蝙蝠侠：黑暗骑士崛起,2012,631166
菊次郎的夏天,1999,516649
超能陆战队,2014,893088
无人知晓,2004,271292
消失的爱人,2014,811174
完美的世界,1993,265107
小森林 冬春篇,2015,336211
爱在日落黄昏时,2004,472065
倩女幽魂,1987,650336
借东西的小人阿莉埃蒂,2010,482702
侧耳倾听,1995,406726
甜蜜蜜,1996,460355
萤火之森,2011,462397
驯龙高手,2010,672537
幸福终点站,2004,490253
时空恋旅人,2013,553666
玛丽和马克思,2009,387486
怪兽电力公司,2001,583427
大鱼,2003,508123
告白,2010,611680
阳光姐妹淘,2011,543145
教父3,1990,318552
射雕英雄传之东成西就,1993,567266
神偷奶爸,2010,850135
傲慢与偏见,2005,694647
玩具总动员3,2010,449054
一个叫欧维的男人决定去死,2015,388684
釜山行,2016,1053704
恐怖直播,2013,576770
被解救的姜戈,2012,534298
哪吒闹海,1979,225175
寄生虫,2019,1212942
未麻的部屋,1997,268685
血战钢锯岭,2016,702885
头号玩家,2018,1215413
我是山姆,2001,288041
七武士,1954,170806
哈利·波特与火焰杯,2005,542766
新世界,2013,340788
喜宴,1993,305185
黑客帝国3：矩阵革命,2003,398128
模仿游戏,2014,552502
电锯惊魂,2004,463606
花样年华,2000,518726
卢旺达饭店,2004,284654
三块广告牌,2017,732570
头脑特工队,2015,529469
疯狂原始人,2013,756251
你的名字。,2016,1226656
上帝之城,2002,271385
风之谷,1984,323039
谍影重重3,2007,374429
达拉斯买家俱乐部,2013,399492
英雄本色,1986,465477
纵横四海,1991,367070
心迷宫,2014,447405
惊魂记,1960,237315
岁月神偷,2010,528307
记忆碎片,2000,541098
海街日记,2015,382872
九品芝麻官,1994,562701
忠犬八公物语,1987,169733
荒蛮故事,2014,387871
爆裂鼓手,2014,505549
绿里奇迹,1999,277008
真爱至上,2003,653048
贫民窟的百万富翁,2008,672089
爱在午夜降临前,2013,329354
东邪西毒,1994,519061
小偷家族,2018,733731
无敌破坏王,2012,471581
冰川时代,2002,547915
疯狂的石头,2006,717999
黑天鹅,2010,719721
色，戒,2007,645967
你看起来好像很好吃,2010,296746
恐怖游轮,2009,726970
雨中曲,1952,187252
雨人,1988,362706
恋恋笔记本,2004,586837
2001太空漫游,1968,270256
魔女宅急便,1989,404234
